Order ID,Order Date,Ship Date,Customer Name,Segment,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
32,2/1/2022,2/3/2022,Prakash,Consumer,South,1032,Technology,Phones,Product-1032,921.62,3,0.4,102.62
33,2/2/2022,2/6/2022,Prakash,Home Office,West,1033,Office Supplies,Accessories,Product-1033,549.17,6,0.24,39.76
34,2/3/2022,2/7/2022,Arun,Corporate,East,1034,Office Supplies,Accessories,Product-1034,1338.26,9,0.4,170
35,2/4/2022,2/10/2022,Prakash,Home Office,East,1035,Office Supplies,Phones,Product-1035,760.86,3,0.18,44.36
36,2/5/2022,2/11/2022,Meena,Consumer,North,1036,Office Supplies,Chairs,Product-1036,1582.9,5,0.47,135.1
37,2/6/2022,2/12/2022,Arun,Consumer,West,1037,Office Supplies,Storage,Product-1037,287.02,5,0.27,24.89
38,2/7/2022,2/10/2022,Saranya,Corporate,South,1038,Technology,Chairs,Product-1038,276.99,7,0.3,19.64
39,2/8/2022,2/12/2022,Ravi,Corporate,West,1039,Technology,Phones,Product-1039,448.69,4,0.02,64.86
40,2/9/2022,2/13/2022,Prakash,Home Office,East,1040,Office Supplies,Phones,Product-1040,214.37,4,0.09,24.35
41,2/10/2022,2/11/2022,Divya,Home Office,West,1041,Technology,Storage,Product-1041,1259.06,7,0.32,119.24
42,2/11/2022,2/14/2022,Ravi,Consumer,South,1042,Technology,Tables,Product-1042,337.34,9,0.21,30.79
43,2/12/2022,2/17/2022,Nithya,Corporate,South,1043,Office Supplies,Tables,Product-1043,361.93,4,0.25,17.78
44,2/13/2022,2/16/2022,Meena,Corporate,North,1044,Technology,Storage,Product-1044,77.75,4,0.03,5.81
45,2/14/2022,2/19/2022,Ravi,Corporate,South,1045,Technology,Tables,Product-1045,1575.08,6,0.42,174.41
46,2/15/2022,2/16/2022,Meena,Home Office,South,1046,Technology,Accessories,Product-1046,1633.98,6,0.39,230.31
47,2/16/2022,2/18/2022,Meena,Corporate,West,1047,Office Supplies,Tables,Product-1047,365.94,7,0.09,46.83
48,2/17/2022,2/21/2022,Meena,Consumer,West,1048,Technology,Tables,Product-1048,1492.07,1,0.32,98.55
49,2/18/2022,2/19/2022,Saranya,Consumer,East,1049,Furniture,Tables,Product-1049,895.41,3,0.41,73.49
50,2/19/2022,2/23/2022,Meena,Home Office,North,1050,Furniture,Accessories,Product-1050,517.21,9,0.32,20.66
51,2/20/2022,2/26/2022,Meena,Home Office,West,1051,Office Supplies,Tables,Product-1051,1261.7,6,0.16,53.32
52,2/21/2022,2/23/2022,Nithya,Corporate,South,1052,Furniture,Binders,Product-1052,398.04,6,0.33,34.4
53,2/22/2022,2/24/2022,Divya,Home Office,East,1053,Office Supplies,Accessories,Product-1053,1525.92,5,0.11,142.87
54,2/23/2022,2/24/2022,Arun,Consumer,West,1054,Furniture,Storage,Product-1054,142.85,3,0.16,8.81
55,2/24/2022,2/26/2022,Kiran,Corporate,North,1055,Furniture,Chairs,Product-1055,1920.31,5,0.12,205.73
56,2/25/2022,3/2/2022,Nithya,Consumer,North,1056,Furniture,Storage,Product-1056,190.16,1,0.28,21.76
57,2/26/2022,2/28/2022,Arun,Corporate,East,1057,Office Supplies,Chairs,Product-1057,1179.92,3,0.05,77.75
58,2/27/2022,3/3/2022,Meena,Home Office,East,1058,Office Supplies,Storage,Product-1058,1809.28,4,0.47,218.94
59,2/28/2022,3/4/2022,Divya,Corporate,East,1059,Technology,Binders,Product-1059,73.21,5,0.17,4
60,3/1/2022,3/5/2022,Ravi,Corporate,East,1060,Office Supplies,Chairs,Product-1060,1022.1,9,0.11,97.42
61,3/2/2022,3/6/2022,Divya,Consumer,East,1061,Furniture,Chairs,Product-1061,732.51,4,0.25,92.67
62,3/3/2022,3/8/2022,Nithya,Consumer,South,1062,Furniture,Phones,Product-1062,1181.65,3,0.14,111.6
63,3/4/2022,3/7/2022,Meena,Corporate,South,1063,Office Supplies,Chairs,Product-1063,489.64,1,0.27,68.04
64,3/5/2022,3/11/2022,Divya,Home Office,West,1064,Office Supplies,Chairs,Product-1064,176.55,6,0.17,6.54
65,3/6/2022,3/7/2022,Prakash,Home Office,North,1065,Office Supplies,Phones,Product-1065,1270.57,7,0.07,127.82
66,3/7/2022,3/11/2022,Divya,Consumer,South,1066,Technology,Tables,Product-1066,862.86,8,0.13,84.05
67,3/8/2022,3/10/2022,Meena,Home Office,South,1067,Furniture,Tables,Product-1067,1263.85,1,0.22,138.07
68,3/9/2022,3/13/2022,Saranya,Consumer,South,1068,Technology,Phones,Product-1068,460.55,4,0.02,59.88
69,3/10/2022,3/12/2022,Prakash,Home Office,West,1069,Technology,Accessories,Product-1069,710.55,5,0.39,83.21
70,3/11/2022,3/17/2022,Divya,Corporate,East,1070,Furniture,Chairs,Product-1070,1145.28,2,0.31,142.97
71,3/12/2022,3/18/2022,Kiran,Consumer,West,1071,Furniture,Chairs,Product-1071,1206.57,1,0.3,78.01
72,3/13/2022,3/19/2022,Kiran,Consumer,North,1072,Office Supplies,Phones,Product-1072,776.01,8,0.27,59.36
73,3/14/2022,3/16/2022,Divya,Corporate,North,1073,Office Supplies,Phones,Product-1073,596.1,6,0.3,62.72
74,3/15/2022,3/19/2022,Saranya,Consumer,North,1074,Technology,Accessories,Product-1074,583.72,5,0.47,56.28
75,3/16/2022,3/22/2022,Ravi,Home Office,North,1075,Office Supplies,Binders,Product-1075,390.66,9,0,56.78
76,3/17/2022,3/22/2022,Meena,Home Office,South,1076,Office Supplies,Tables,Product-1076,684.54,2,0.02,35.88
77,3/18/2022,3/20/2022,Kiran,Consumer,South,1077,Furniture,Storage,Product-1077,438.91,8,0.1,31.67
78,3/19/2022,3/21/2022,Ravi,Home Office,West,1078,Furniture,Binders,Product-1078,1285.94,9,0.08,126.96
79,3/20/2022,3/24/2022,Divya,Consumer,East,1079,Office Supplies,Tables,Product-1079,1159.68,1,0.09,155.58
80,3/21/2022,3/23/2022,Nithya,Corporate,North,1080,Furniture,Chairs,Product-1080,796.05,7,0.34,112.66
81,3/22/2022,3/24/2022,Ravi,Consumer,West,1081,Office Supplies,Binders,Product-1081,685.37,8,0.23,48.2
82,3/23/2022,3/29/2022,Prakash,Corporate,South,1082,Furniture,Phones,Product-1082,513.35,3,0.5,19.53
83,3/24/2022,3/28/2022,Arun,Home Office,South,1083,Furniture,Accessories,Product-1083,1094.14,4,0.11,88.18
84,3/25/2022,3/31/2022,Kiran,Corporate,East,1084,Furniture,Tables,Product-1084,1841.86,3,0.16,142.42
85,3/26/2022,4/1/2022,Divya,Home Office,East,1085,Furniture,Accessories,Product-1085,1387.12,7,0.49,205.82
86,3/27/2022,3/31/2022,Nithya,Consumer,East,1086,Office Supplies,Tables,Product-1086,1501.61,9,0.42,122.72
87,3/28/2022,3/29/2022,Meena,Home Office,West,1087,Technology,Binders,Product-1087,1677.04,3,0.23,111.84
88,3/29/2022,4/4/2022,Nithya,Consumer,South,1088,Furniture,Chairs,Product-1088,735.69,6,0.28,54.33
89,3/30/2022,4/4/2022,Saranya,Consumer,South,1089,Office Supplies,Storage,Product-1089,172.61,8,0.42,13.4
90,3/31/2022,4/5/2022,Prakash,Corporate,East,1090,Office Supplies,Accessories,Product-1090,1263.99,6,0.24,162.53
91,4/1/2022,4/3/2022,Divya,Corporate,North,1091,Furniture,Accessories,Product-1091,417.91,2,0.1,16.6
92,4/2/2022,4/7/2022,Meena,Corporate,East,1092,Technology,Storage,Product-1092,1159.64,7,0.41,78.83
93,4/3/2022,4/5/2022,Saranya,Corporate,West,1093,Furniture,Accessories,Product-1093,1492.04,2,0.27,217.78
94,4/4/2022,4/5/2022,Saranya,Home Office,East,1094,Office Supplies,Accessories,Product-1094,1578.09,2,0.08,76.34
95,4/5/2022,4/9/2022,Divya,Home Office,East,1095,Technology,Tables,Product-1095,638.59,2,0.25,76.06
96,4/6/2022,4/10/2022,Prakash,Home Office,West,1096,Office Supplies,Tables,Product-1096,1049.24,1,0.21,76.35
97,4/7/2022,4/11/2022,Ravi,Consumer,East,1097,Furniture,Storage,Product-1097,1260.88,1,0.44,125.85
98,4/8/2022,4/13/2022,Ravi,Home Office,South,1098,Technology,Chairs,Product-1098,1647.99,7,0.06,69.13
99,4/9/2022,4/10/2022,Saranya,Home Office,North,1099,Office Supplies,Binders,Product-1099,1534.71,5,0.44,102.47
100,4/10/2022,4/15/2022,Ravi,Home Office,East,1100,Office Supplies,Binders,Product-1100,1976.55,3,0.26,178.09
101,4/11/2022,4/16/2022,Arun,Corporate,West,1101,Office Supplies,Accessories,Product-1101,65.77,1,0.2,3.8
102,4/12/2022,4/13/2022,Saranya,Home Office,North,1102,Furniture,Chairs,Product-1102,903.1,6,0.08,85.82
103,4/13/2022,4/14/2022,Saranya,Consumer,West,1103,Technology,Storage,Product-1103,549.29,1,0.35,30.96
104,4/14/2022,4/15/2022,Meena,Corporate,North,1104,Furniture,Storage,Product-1104,283.79,9,0.46,30.65
105,4/15/2022,4/16/2022,Ravi,Consumer,North,1105,Furniture,Tables,Product-1105,1827.45,2,0.19,253.14
106,4/16/2022,4/20/2022,Prakash,Home Office,East,1106,Furniture,Accessories,Product-1106,1996.03,1,0.12,80.36
107,4/17/2022,4/20/2022,Saranya,Corporate,South,1107,Technology,Phones,Product-1107,402.16,7,0.28,22.52
108,4/18/2022,4/21/2022,Nithya,Consumer,East,1108,Furniture,Storage,Product-1108,124.95,6,0.4,16.41
109,4/19/2022,4/20/2022,Prakash,Home Office,West,1109,Furniture,Accessories,Product-1109,586.36,6,0,62.03
110,4/20/2022,4/23/2022,Arun,Consumer,West,1110,Furniture,Chairs,Product-1110,1677.98,5,0.32,66.19
111,4/21/2022,4/24/2022,Meena,Consumer,North,1111,Furniture,Tables,Product-1111,623.09,4,0.3,55.06
112,4/22/2022,4/23/2022,Divya,Consumer,North,1112,Office Supplies,Binders,Product-1112,160.96,4,0.16,8.88
113,4/23/2022,4/26/2022,Prakash,Home Office,South,1113,Furniture,Chairs,Product-1113,152.36,3,0.23,8.21
114,4/24/2022,4/29/2022,Saranya,Home Office,East,1114,Office Supplies,Storage,Product-1114,883.47,8,0.12,126.23
115,4/25/2022,4/27/2022,Arun,Consumer,West,1115,Furniture,Storage,Product-1115,1867.06,7,0.39,226.63
116,4/26/2022,4/28/2022,Kiran,Corporate,North,1116,Technology,Chairs,Product-1116,607.54,9,0.32,68.98
117,4/27/2022,4/28/2022,Arun,Corporate,South,1117,Office Supplies,Storage,Product-1117,882.96,1,0.27,51.8
118,4/28/2022,5/2/2022,Arun,Home Office,West,1118,Office Supplies,Accessories,Product-1118,248.77,7,0.2,11
119,4/29/2022,4/30/2022,Meena,Home Office,North,1119,Office Supplies,Storage,Product-1119,1012.47,4,0.15,136.18
120,4/30/2022,5/4/2022,Divya,Home Office,West,1120,Office Supplies,Tables,Product-1120,1408.27,7,0.41,43.24
121,5/1/2022,5/3/2022,Kiran,Home Office,South,1121,Technology,Accessories,Product-1121,578.74,1,0.23,44.32
122,5/2/2022,5/3/2022,Ravi,Home Office,South,1122,Furniture,Phones,Product-1122,628.59,5,0.25,39.8
123,5/3/2022,5/9/2022,Ravi,Corporate,West,1123,Office Supplies,Storage,Product-1123,1691.85,3,0.26,166.55
124,5/4/2022,5/9/2022,Prakash,Home Office,East,1124,Technology,Storage,Product-1124,70.21,5,0.22,4.22
125,5/5/2022,5/8/2022,Arun,Consumer,West,1125,Office Supplies,Tables,Product-1125,1291.12,4,0.13,86.95
126,5/6/2022,5/10/2022,Nithya,Consumer,North,1126,Furniture,Tables,Product-1126,818.08,2,0.06,107.99
127,5/7/2022,5/13/2022,Meena,Corporate,East,1127,Office Supplies,Binders,Product-1127,631.84,4,0.05,64.69
128,5/8/2022,5/11/2022,Nithya,Consumer,North,1128,Technology,Chairs,Product-1128,1332.31,3,0.38,63.26
129,5/9/2022,5/12/2022,Meena,Corporate,West,1129,Furniture,Chairs,Product-1129,1677.6,1,0.11,196.58
130,5/10/2022,5/11/2022,Ravi,Corporate,East,1130,Technology,Chairs,Product-1130,1138.86,8,0.03,62.52
131,5/11/2022,5/14/2022,Prakash,Consumer,North,1131,Furniture,Tables,Product-1131,110.63,5,0.4,9.07
132,5/12/2022,5/17/2022,Prakash,Home Office,West,1132,Furniture,Chairs,Product-1132,949.73,4,0.08,102.18
133,5/13/2022,5/19/2022,Prakash,Consumer,West,1133,Furniture,Chairs,Product-1133,952.38,5,0.31,59.65
134,5/14/2022,5/17/2022,Kiran,Consumer,East,1134,Office Supplies,Phones,Product-1134,1110.41,4,0.17,84.49
135,5/15/2022,5/16/2022,Divya,Corporate,West,1135,Technology,Chairs,Product-1135,1358.37,3,0.06,160.42
136,5/16/2022,5/21/2022,Kiran,Consumer,South,1136,Technology,Storage,Product-1136,87.67,5,0.21,12.5
137,5/17/2022,5/19/2022,Saranya,Corporate,North,1137,Technology,Binders,Product-1137,1028.92,4,0.01,96.21
138,5/18/2022,5/24/2022,Saranya,Home Office,North,1138,Furniture,Tables,Product-1138,1197.2,1,0.42,37.35
139,5/19/2022,5/22/2022,Nithya,Home Office,West,1139,Office Supplies,Accessories,Product-1139,719.54,3,0.26,50.81
140,5/20/2022,5/21/2022,Divya,Home Office,West,1140,Furniture,Binders,Product-1140,1353.31,8,0.07,105.34
141,5/21/2022,5/23/2022,Ravi,Consumer,South,1141,Technology,Phones,Product-1141,494.95,7,0.12,34.99
142,5/22/2022,5/24/2022,Divya,Corporate,East,1142,Office Supplies,Tables,Product-1142,668.88,2,0.22,55.08
143,5/23/2022,5/27/2022,Meena,Home Office,West,1143,Office Supplies,Tables,Product-1143,1927.37,1,0.09,204.15
144,5/24/2022,5/29/2022,Saranya,Corporate,West,1144,Office Supplies,Storage,Product-1144,728.74,3,0.13,32.45
145,5/25/2022,5/28/2022,Arun,Corporate,West,1145,Technology,Binders,Product-1145,725.68,5,0.27,45.51
146,5/26/2022,5/27/2022,Arun,Home Office,West,1146,Office Supplies,Binders,Product-1146,1211.58,1,0.42,110.15
147,5/27/2022,5/31/2022,Ravi,Home Office,North,1147,Office Supplies,Chairs,Product-1147,1943.4,3,0.2,131.9
148,5/28/2022,6/2/2022,Meena,Corporate,West,1148,Furniture,Storage,Product-1148,1967.01,3,0.36,292.95
149,5/29/2022,6/2/2022,Nithya,Home Office,North,1149,Furniture,Chairs,Product-1149,1180.33,5,0.44,96.52
150,5/30/2022,6/5/2022,Kiran,Corporate,West,1150,Office Supplies,Chairs,Product-1150,52.12,3,0.11,7
151,5/31/2022,6/5/2022,Meena,Corporate,East,1151,Office Supplies,Tables,Product-1151,1806.28,9,0.4,248.51
152,6/1/2022,6/6/2022,Arun,Home Office,South,1152,Furniture,Binders,Product-1152,1161.96,1,0.38,151.43
153,6/2/2022,6/5/2022,Arun,Consumer,East,1153,Furniture,Chairs,Product-1153,763.69,4,0.18,27.21
154,6/3/2022,6/8/2022,Nithya,Home Office,West,1154,Furniture,Phones,Product-1154,1666.93,4,0.49,239.59
155,6/4/2022,6/8/2022,Saranya,Consumer,West,1155,Technology,Phones,Product-1155,829.67,1,0.13,37.71
156,6/5/2022,6/10/2022,Meena,Corporate,West,1156,Technology,Binders,Product-1156,116.39,2,0.13,3.97
157,6/6/2022,6/9/2022,Meena,Corporate,East,1157,Furniture,Phones,Product-1157,1651.09,1,0.39,131.63
158,6/7/2022,6/10/2022,Arun,Consumer,West,1158,Office Supplies,Tables,Product-1158,1114.43,6,0.22,59.46
159,6/8/2022,6/14/2022,Kiran,Corporate,East,1159,Furniture,Storage,Product-1159,709.38,3,0.17,36.96
160,6/9/2022,6/13/2022,Ravi,Consumer,North,1160,Technology,Accessories,Product-1160,539.24,7,0.09,34.8
161,6/10/2022,6/12/2022,Prakash,Consumer,South,1161,Office Supplies,Chairs,Product-1161,1207.91,5,0.38,72.24
162,6/11/2022,6/13/2022,Ravi,Corporate,South,1162,Technology,Accessories,Product-1162,455.7,9,0.39,51.12
163,6/12/2022,6/17/2022,Meena,Consumer,East,1163,Office Supplies,Storage,Product-1163,681.51,7,0.28,35.72
164,6/13/2022,6/19/2022,Ravi,Home Office,North,1164,Technology,Storage,Product-1164,1291.23,4,0.48,122.89
165,6/14/2022,6/15/2022,Arun,Home Office,East,1165,Office Supplies,Tables,Product-1165,1769.01,5,0.16,262.47
166,6/15/2022,6/20/2022,Arun,Corporate,North,1166,Office Supplies,Phones,Product-1166,1089.14,5,0.11,89.19
167,6/16/2022,6/22/2022,Nithya,Corporate,West,1167,Office Supplies,Phones,Product-1167,1530.26,5,0.34,163.78
168,6/17/2022,6/21/2022,Meena,Consumer,North,1168,Office Supplies,Storage,Product-1168,1537.97,9,0.38,225.04
169,6/18/2022,6/22/2022,Nithya,Consumer,North,1169,Technology,Tables,Product-1169,1345.49,3,0.11,62.59
170,6/19/2022,6/23/2022,Meena,Consumer,North,1170,Technology,Tables,Product-1170,529.38,6,0.04,42.47
171,6/20/2022,6/24/2022,Prakash,Consumer,South,1171,Office Supplies,Binders,Product-1171,1740.24,8,0.41,229.75
172,6/21/2022,6/25/2022,Prakash,Home Office,North,1172,Office Supplies,Chairs,Product-1172,900.74,9,0.49,127.79
173,6/22/2022,6/28/2022,Saranya,Home Office,West,1173,Technology,Phones,Product-1173,136.21,7,0.32,13.91
174,6/23/2022,6/29/2022,Meena,Corporate,West,1174,Office Supplies,Storage,Product-1174,526.99,3,0.14,24.88
175,6/24/2022,6/27/2022,Kiran,Consumer,West,1175,Office Supplies,Binders,Product-1175,1542.82,1,0.5,213.18
176,6/25/2022,6/27/2022,Ravi,Consumer,North,1176,Office Supplies,Accessories,Product-1176,184.81,4,0.45,9.41
177,6/26/2022,6/30/2022,Meena,Corporate,East,1177,Furniture,Phones,Product-1177,337.36,6,0.26,24.41
178,6/27/2022,6/28/2022,Divya,Consumer,East,1178,Office Supplies,Chairs,Product-1178,1403.74,3,0.41,105.37
179,6/28/2022,7/4/2022,Saranya,Consumer,West,1179,Furniture,Tables,Product-1179,1790.57,1,0.41,149.83
180,6/29/2022,6/30/2022,Divya,Consumer,South,1180,Office Supplies,Storage,Product-1180,1285.78,6,0.47,160.49
181,6/30/2022,7/1/2022,Arun,Consumer,East,1181,Technology,Phones,Product-1181,483.47,1,0.42,61.04
182,7/1/2022,7/2/2022,Prakash,Consumer,North,1182,Furniture,Accessories,Product-1182,154.16,9,0.32,17.94
183,7/2/2022,7/5/2022,Ravi,Corporate,East,1183,Furniture,Chairs,Product-1183,1249.5,1,0.3,40.8
184,7/3/2022,7/9/2022,Meena,Consumer,West,1184,Office Supplies,Chairs,Product-1184,142.43,6,0.23,13.93
185,7/4/2022,7/5/2022,Divya,Corporate,South,1185,Office Supplies,Binders,Product-1185,1244.81,1,0.31,149
186,7/5/2022,7/9/2022,Ravi,Consumer,East,1186,Furniture,Phones,Product-1186,489.88,7,0.4,40.83
187,7/6/2022,7/11/2022,Arun,Home Office,East,1187,Technology,Accessories,Product-1187,1814.08,3,0.48,260.13
188,7/7/2022,7/8/2022,Prakash,Home Office,West,1188,Technology,Chairs,Product-1188,976.43,6,0.23,125.82
189,7/8/2022,7/11/2022,Kiran,Home Office,South,1189,Office Supplies,Storage,Product-1189,486.68,7,0.29,51.87
190,7/9/2022,7/15/2022,Saranya,Home Office,South,1190,Technology,Chairs,Product-1190,1713.63,1,0.22,64.25
191,7/10/2022,7/13/2022,Ravi,Corporate,West,1191,Technology,Accessories,Product-1191,545.37,1,0.33,59.05
192,7/11/2022,7/12/2022,Ravi,Corporate,North,1192,Office Supplies,Tables,Product-1192,647.87,5,0.31,90.31
193,7/12/2022,7/18/2022,Kiran,Consumer,East,1193,Technology,Tables,Product-1193,1676.84,6,0.01,126.66
194,7/13/2022,7/18/2022,Ravi,Home Office,North,1194,Office Supplies,Binders,Product-1194,652.14,9,0.27,85.15
195,7/14/2022,7/15/2022,Arun,Corporate,East,1195,Furniture,Phones,Product-1195,849.82,1,0.04,57.43
196,7/15/2022,7/18/2022,Arun,Consumer,East,1196,Office Supplies,Accessories,Product-1196,727.95,4,0.01,71.64
197,7/16/2022,7/18/2022,Kiran,Consumer,North,1197,Furniture,Binders,Product-1197,276.98,8,0.4,29.86
198,7/17/2022,7/21/2022,Saranya,Corporate,West,1198,Furniture,Chairs,Product-1198,125.85,9,0.13,14.01
199,7/18/2022,7/21/2022,Meena,Home Office,West,1199,Technology,Chairs,Product-1199,1462.85,3,0.17,198.81
200,7/19/2022,7/25/2022,Divya,Consumer,East,1200,Technology,Tables,Product-1200,1308.02,2,0.03,76.07
201,7/20/2022,7/21/2022,Meena,Home Office,West,1201,Technology,Binders,Product-1201,600.61,4,0.09,36.93
202,7/21/2022,7/25/2022,Ravi,Home Office,East,1202,Office Supplies,Tables,Product-1202,626.42,2,0.38,71.72
203,7/22/2022,7/23/2022,Divya,Home Office,West,1203,Technology,Storage,Product-1203,1892.76,1,0.25,97.03
204,7/23/2022,7/29/2022,Nithya,Consumer,East,1204,Furniture,Tables,Product-1204,1975.96,3,0.44,169.36
205,7/24/2022,7/25/2022,Kiran,Home Office,West,1205,Technology,Storage,Product-1205,973.2,7,0.2,31.54
206,7/25/2022,7/27/2022,Kiran,Consumer,South,1206,Technology,Chairs,Product-1206,1614.78,1,0.13,75.76
207,7/26/2022,7/30/2022,Saranya,Home Office,North,1207,Office Supplies,Binders,Product-1207,1486.54,2,0.17,165.69
208,7/27/2022,7/31/2022,Divya,Consumer,South,1208,Office Supplies,Storage,Product-1208,629.77,1,0.36,75.38
209,7/28/2022,8/3/2022,Arun,Home Office,North,1209,Furniture,Binders,Product-1209,164.2,8,0.28,7.2
210,7/29/2022,7/31/2022,Divya,Corporate,North,1210,Office Supplies,Binders,Product-1210,327.98,5,0.45,18.8
211,7/30/2022,8/2/2022,Ravi,Home Office,East,1211,Technology,Storage,Product-1211,1684.67,8,0.3,70.53
212,7/31/2022,8/1/2022,Arun,Home Office,North,1212,Office Supplies,Phones,Product-1212,1475.87,3,0.25,121.04
213,8/1/2022,8/6/2022,Prakash,Consumer,South,1213,Furniture,Tables,Product-1213,1345.45,7,0.39,60.73
214,8/2/2022,8/3/2022,Prakash,Consumer,South,1214,Technology,Storage,Product-1214,304.77,8,0.47,25.14
215,8/3/2022,8/4/2022,Nithya,Home Office,West,1215,Furniture,Chairs,Product-1215,1297.86,6,0.18,152.96
216,8/4/2022,8/7/2022,Prakash,Corporate,South,1216,Office Supplies,Binders,Product-1216,1555.7,7,0.12,174.25
217,8/5/2022,8/6/2022,Kiran,Corporate,West,1217,Office Supplies,Accessories,Product-1217,1728.17,2,0.31,110.01
218,8/6/2022,8/8/2022,Divya,Consumer,North,1218,Furniture,Storage,Product-1218,75.8,8,0.25,8.4
219,8/7/2022,8/9/2022,Prakash,Corporate,South,1219,Technology,Tables,Product-1219,1384.73,5,0.49,195.7
220,8/8/2022,8/12/2022,Meena,Home Office,North,1220,Office Supplies,Binders,Product-1220,87.24,7,0.23,6.26
221,8/9/2022,8/15/2022,Saranya,Consumer,South,1221,Office Supplies,Phones,Product-1221,1428.4,1,0.04,99.27
222,8/10/2022,8/15/2022,Meena,Home Office,South,1222,Technology,Chairs,Product-1222,1289.46,5,0.49,127.11
223,8/11/2022,8/12/2022,Prakash,Consumer,West,1223,Office Supplies,Phones,Product-1223,339.28,1,0.42,20.17
224,8/12/2022,8/13/2022,Nithya,Consumer,North,1224,Furniture,Accessories,Product-1224,1543.94,8,0.09,167.04
225,8/13/2022,8/16/2022,Saranya,Consumer,South,1225,Office Supplies,Storage,Product-1225,183.28,4,0.45,23.8
226,8/14/2022,8/20/2022,Ravi,Consumer,East,1226,Office Supplies,Binders,Product-1226,1661.48,4,0.17,141.42
227,8/15/2022,8/17/2022,Meena,Corporate,North,1227,Technology,Storage,Product-1227,560.76,2,0.19,62.55
228,8/16/2022,8/21/2022,Nithya,Home Office,North,1228,Furniture,Tables,Product-1228,1393.26,5,0.45,150.79
